REGION,PROVINCIA,DISTRITO,CODIGO,NOMBRE,CATEGORIA,TIPO,SUBTIPO,URL,LATITUD,LONGITUD
Lima,Lima,LIMA,"4,566",Carapulcra Limeña,3. FOLCLORE,Gastronomía,Platos Típicos,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4566,-77.0323,-12.0467
Lima,Lima,LIMA,"4,567",Local Central De La Escuela Nacional Superior Autónoma De Bellas Artes Del Perú,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Casa de Valor Arquitectónico,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4567,-77.023955,-12.046828
Lima,Lima,LIMA,"4,568",Causa Limeña,3. FOLCLORE,Gastronomía,Platos Típicos,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4568,-77.0323,-12.0467
Lima,Lima,LIMA,"4,571",Cau Cau,3. FOLCLORE,Gastronomía,Platos Típicos,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4571,-77.0323,-12.0467
Lima,Lima,LIMA,"4,572",Escabeche,3. FOLCLORE,Gastronomía,Platos Típicos,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4572,-77.0323,-12.0467
Lima,Lima,LIMA,"4,573",Jardín Botánico De La Universidad Nacional Mayor De San Marcos,"4. REALIZACIONES TÉCNICAS, CIENTÍFICAS Y ARTÍSTICAS CONTEMPORÁNEAS",Centros Científicos y Técnicos,Jardines Botánicos y Viveros,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4573,-77.02275108465574,-12.055827062358732
Lima,Lima,LIMA,"4,576",Tamal Criollo,3. FOLCLORE,Gastronomía,Platos Típicos,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4576,-77.0323,-12.0467
Arequipa,Castilla,ANDAGUA,"4,577",Volcanes Los Mellizos,1. SITIOS NATURALES,a. Montañas,Volcanes,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4577,-72.35400438308716,-15.486375719889745
Lima,Lima,LIMA,"4,586",Casa Wiese,2. MANIFESTACIONES CULTURALES,Lugares Históricos,Murallas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4586,,
Lima,Lima,LIMA,"4,588",Museo Numismático Del Banco De Crédito Del Perú,2. MANIFESTACIONES CULTURALES,Museos y otros,Museos,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4588,-77.02990358895494,-12.048285100632611
Arequipa,La Union,TOMEPAMPA,"4,590",Andenerias De Chungana,2. MANIFESTACIONES CULTURALES,Lugares Históricos,Puentes,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4590,-72.83353336201804,-15.189151769725235
Lima,Lima,LIMA,"4,591",Turrón De Doña Pepa,3. FOLCLORE,Gastronomía,Dulces Típicos,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4591,-77.0323,-12.0467
Arequipa,Condesuyos,CHUQUIBAMBA,"4,592",Zona Arqueologica De Itac,2. MANIFESTACIONES CULTURALES,Sitios Arqueológicos,Templos,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4592,-72.63850435581969,-15.795604028892738
Arequipa,Caylloma,SIBAYO,"4,595",Catarata Del Diablo,1. SITIOS NATURALES,Caídas de agua,Cataratas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4595,-71.456842,-15.486472
Lima,Lima,LIMA,"4,597",Arroz Con Leche,3. FOLCLORE,Gastronomía,Dulces Típicos,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4597,-77.0323,-12.0467
Lima,Lima,LIMA,"4,598",Arroz Zambito,3. FOLCLORE,Gastronomía,Dulces Típicos,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4598,-77.0323,-12.0467
Arequipa,La Union,HUAYNACOTAS,"4,599",Iglesia De San Juan Bautista  De Taurisma,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Iglesias,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4599,-72.84925013780594,-15.174429967772617
Arequipa,Caylloma,SIBAYO,"4,600",Fiesta De San Juan,5. ACONTECIMIENTOS PROGRAMADOS,Fiestas,Fiestas religiosas-patronales,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4600,-71.4586,-15.4861
